High-risk area,Why risky,Evidence refs,Guardrail,date_packaged,research_topic
False reassurance after normal tests,Normal tests can be overgeneralized beyond timing/scope.,research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::Normal-test trap; research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz::C003/C007,Show test scope/date and symptom status; require unresolved-symptom safety net.,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
Alert fatigue and inbox overload,More alerts can hide abnormal results and worsen clinician burden.,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::E001/Q003; research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::risks_and_safety_notes.md,"Risk ranking, deduplication, owner/deadline, false-positive review.",2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
Autonomous diagnosis / automation bias,Users may treat suggestions as final diagnoses.,research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::risks_and_safety_notes.md; research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::risks_and_safety_notes.md,"Support-only language, source links, uncertainty, clinician review and override.",2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
Bias amplification,"Models may reproduce dismissal by age, gender, race, mental-health or difficult-patient labels.",research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::E017/E018; research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::C008; research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz::Q009/Q010/Q014,Anti-bias audits; no stigmatizing label rules; physical red-flag review when attribution is discordant.,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
Privacy and sensitive patient-generated data,"Family history, finances, immigration, mental health and patient photos are sensitive.",research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::risks_and_safety_notes.md; research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::Medication/access-as-diagnostic-clue,"Consent, minimization, provenance, role-based access, patient correction/deletion where permitted.",2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
Overtesting and panic language,Persistent symptom flags may cause anxiety or unnecessary testing.,research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz::risks_and_safety_notes.md; research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::risks_and_safety_notes.md,Plain uncertainty language; clinician-reviewed next steps; measure utilization and harm.,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
Low-resource blame,Capturing stockouts/referral failures could blame clinics/CHWs for infrastructure gaps.,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::E019/E020; research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::C006/C007,Non-punitive resource reporting and manager dashboards; alternate plans and referral mapping.,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
Patient-clinician trust/conflict,Dismissal flags can feel accusatory and escalate conflict.,research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz::quotes.csv; research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::Q012/Q013,Use “unresolved concern” language; preserve patient voice separately; mediation/correction path.,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
Summary errors / hidden nuance,A concise summary may omit rare but critical details.,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::E016; research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::no one connected the dots,"Source-linked expandable details, uncertainty field, clinician confirmation, audit misses.",2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
Unclear accountability,A tracker without owner/deadline is another passive record.,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::E014; research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::FM08/FM10,"Owner, backup owner, due date, escalation and closure reason required for safety-critical tasks.",2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
