patient_stage,black_zone,signal_currently_lost,prevention_capability,evidence_refs
before visit,digital exclusion; one-symptom framing; patient does not know red flags,"patient narrative, prior visits, main fear, language/access needs",rich intake; language fields; patient-held record import,A: stage_data_matrix before visit; D: Q005; E: S023/S024
arrival / registration,occult waits and visible distress before formal triage,"arrival time, mode, distress, red flag complaint",registration red-flag escalation; true-arrival timestamp,A: FM01/FM02/FM03; A:S03/S04/S10
nurse triage / vitals,acuity score mistaken for diagnosis; complex stable cases downgraded,"danger signs, abnormal vitals, repeat visit, high-risk history",red-flag prompts; repeat-visit reset; high-risk history card,A:S01/S02/S10; B:B-006/B-007/B-016
intake form / care navigation,incomplete history; wrong service; patient concern compressed,"duration, baseline change, prior tests, family history, patient theory",dynamic missing-data checklist; rich intake,A:S13/S16; D:S010
first clinician assessment,"anchoring, dismissal, mental-health misattribution, time pressure","patient quote, physical red flags, differential uncertainty, function",bias guardrail; patient voice ledger; doctor summary,B:M-001/M-002; C:Q001/Q014; D:Q013
labs / imaging ordered,needed test not ordered or unavailable; test access barriers,"test indication, availability, reason not ordered, fallback plan",low-resource availability layer; missing-data checklist,D:M009/M010; B:M-012; A:HWC/iCCM flows
lab / imaging interpretation,abnormal result invisible or normal-test trap,"abnormality, criticality, test scope/date, persistent symptoms",result ownership ledger; normal-test explainer,D:E001/M003/M004; C:C010/C011; B:M-003/M-004
diagnosis discussion,uncertainty flattened into reassurance; diagnosis status unclear,"what is ruled in/out, pending items, safety-net plan",diagnosis-status clarity; symptom-still-present check-in,C:Q003/Q007; A:S18
referral,sent referral treated as completed action,"referral status, acceptance/rejection, booking, barriers, report returned",referral state machine; patient-visible status,D:M008; A:C027/C028/C029; C:C006/C015
discharge,pending tests and unresolved symptoms have no owner,"pending tests, expected result, owner, red flags",pending-test discharge contract; result ledger,B:B-012/B-017; A:S26; C:S010
follow-up,no one owns check-in or patient cannot access care,"unresolved symptom, result task, appointment, patient barriers",episode owner; check-in; access-risk field,A:key_findings; E:patterns
repeat visit,visits treated as isolated; no diagnostic reset,"same/worse complaint count, prior diagnoses, failed tests",repeat-visit diagnostic reset,A:S20/S21; B:M-005; C:C008
specialist review,wrong specialty or narrow question hides full pattern,"multi-system timeline, prior specialty decisions, open questions",cross-specialty pattern map,B:B-002/B-003/B-024; C:C015
home/community visit,CHW or informal-provider signals not connected,"home observation, danger signs, household risk, referral completion",CHW referral capture; offline mode,E:S012/S013/S021; A:S38/S43
