risk_id,risk_name,affected_user,possible_failure_mode,related_features,severity,evidence_refs,guardrail
R-V2-001,Autonomous diagnosis drift,patient; caregiver; clinician,The system's summaries or hypotheses are interpreted as final diagnoses.,WB2-F001; WB2-F006; WB2-F021; WB2-F030,very high,WellBe Safety; Research F safety_risks; SHM R001,Use memory/investigation language; ban 'you have X'; require safety gate and source links.
R-V2-002,False reassurance after normal tests,patient,User or clinician treats a normal test as closure while symptoms persist.,WB2-F006; WB2-F009,high,Research F PI006/safety_risks; Research B normal-test trap,Show test date/scope and unresolved symptom status; recommend follow-up discussion.
R-V2-003,Alert and notification fatigue,patient; clinician,Too many reminders/alerts cause important items to be ignored.,WB2-F007; WB2-F019; WB2-F028,high,Research D alert overload; Research F PI024; SHM R002,Prioritize open loops by risk/time; suppress duplicates; user notification controls; measure false positives.
R-V2-004,Responsibility without authority,patient,The app implies an owner or promise that the health system has not actually accepted.,WB2-F007; WB2-F008; WB2-F020,high,Research F PI004/PI005/PI016; VISION personal-system reading,"Mark owner/contact as official, user-entered, inferred, or unknown; never invent ownership."
R-V2-005,Privacy overreach / institutional capture,patient,Institution gets aggregate or individual access outside user intent.,WB2-F024; WB2-F025; WB2-F032,very high,VISION.md cross-patient comparison guardrail; WellBe M02,User-only consent gates; revocable share grants; no default population analytics.
R-V2-006,Bias amplification,patient; clinician,"Model uses stigmatizing labels, demographics, or incomplete records to minimize or over-escalate concerns.",WB2-F015; WB2-F027,high,Research F PI014/PI019; Research E cultural safety; Research B mental-health misattribution,"Bias controls, sensitive-field minimization, user correction, and no ethnicity-based scoring."
R-V2-007,Raw data overload,clinician; patient,Clinician packet becomes too long or wearable logs create noise.,WB2-F011; WB2-F023,medium-high,Research D clinician overload; SHM F012/R003,One-page packet default; trends over raw streams; source-linked drill-down.
R-V2-008,Panic language,patient; caregiver,"Uncertainty, abnormal results, or red flags are phrased in a way that increases anxiety without a path.",WB2-F006; WB2-F007; WB2-F019,medium-high,Research F safety principles; WellBe safety levels,Plain language; action path; no alarm without next step; calibrated urgency levels.
R-V2-009,Unverified patient-held data treated as verified,patient; clinician,"Photos, PDFs, or manual entries are treated as equivalent to official results.",WB2-F014; WB2-F004,medium-high,Research F PI018; SHM patient records facts,Verification status and source quality displayed everywhere.
R-V2-010,Low-resource tool creates unsupported responsibility,patient; CHW; clinic,"Tool asks CHWs/clinics to do tasks without supplies, referral backup, or supervision.",WB2-F026,high,Research F PI020/PI021; Research E low-resource risks; SHM F017,"Only deploy with local protocol, supervision, offline mode, and referral capacity mapping."
R-V2-011,Regulatory boundary creep,company; users; clinicians,Feature crosses from memory/education into regulated clinical decision support without controls.,WB2-F021; WB2-F027; WB2-F030; WB2-F032,high,SHM F015; Research F safety areas,Feature classification review before release; keep user-facing outputs explainable and non-diagnostic.
R-V2-012,Sustained engagement assumption,patient,"Health Thread value depends on long-term use, but users may stop logging before memory compounds.",WB2-F001; WB2-F020,medium,TSX Challenged: compounding timeline engagement,"Low-friction capture, reminders tied to open loops, import-first value, and visit-triggered workflows."
