entity,purpose,key_fields,source_or_evidence_refs,privacy_safety_notes
User,"Primary owner of memory, consent, preferences and identity.",user_id; demographics_optional; preferred_language; accessibility_needs; contact_preferences,VISION.md; Research F schema Patient,Minimize sensitive demographics; no default institutional access.
ConsentScope,"Controls data import, sharing, cross-patient opt-in, caregiver access and revocation.",scope_id; user_id; data_types; recipient; purpose; expiration; revoked_at; audit_log,VISION.md; WellBe M02,"All sharing explicit, user-initiated and revocable."
RawContextEvent,"Immutable raw input from user, file, wearable, portal, bot, calendar or manual entry.",raw_event_id; source_type; raw_payload_uri; timestamp; provenance; user_id; integrity_hash,WellBe M03; non-negotiable raw context sacred,Never overwrite; redact only in derived views.
SourceDocument,"Document, image, portal result, lab report, note, SMS or export attached to the user's memory.",document_id; raw_event_id; title; issuer; date; extracted_text; quality; verification_status,Research F PI018; document-upload,Provenance and quality labeling required.
ExtractedFact,Source-linked structured fact extracted from raw input.,fact_id; source_id; fact_type; value; timestamp; confidence; evidence_quality; extracted_by,WellBe M04/M16/M26,Every fact source-linked; hallucination prevention.
HealthSignal,"Generalized signal from symptoms, labs, wearables, medications, mood, lifestyle or context.",signal_id; type; value; unit; time_window; baseline_relation; source_fact_ids,WellBe M05-M08; M10,No isolated signal interpreted alone.
SymptomEpisode,Patient-reported symptom occurrence with narrative and structured fields.,episode_id; thread_id; symptom; onset; duration; severity; location; function_impact; raw_words,Research F PI002/PI007; symptom-logging,Patient-reported label preserved.
HealthThread,Living container for one unresolved or ongoing health concern.,thread_id; user_id; title; start_date; status; uncertainty_level; summary; last_updated; closure_criteria,Shared Health Memory Health Thread; Research F PI001,Do not set final diagnosis autonomously.
ThreadEvidenceLink,"Links events, facts, documents, visits, labs, referrals and narratives to a Health Thread.",link_id; thread_id; target_type; target_id; link_reason; confidence; user_confirmed; created_by,KFC001; WellBe graph,User can dispute/unlink inferred links.
PatientNarrative,"Verbatim story, main fear, own theory, daily-life impact and correction history.",narrative_id; thread_id; text; context; quote_type; created_at; correction_status,Research F PI007; SHM Story Memory,Separate from clinician assessment; respectful wording.
Encounter,Visit/contact/telehealth/ED/urgent-care event relevant to a thread.,encounter_id; thread_id; setting; date; location; clinician_or_team; disposition; user_notes,Research F schema Encounter; Research A patient flows,May be user-entered and unverified.
ResultItem,"Lab, imaging, pathology, microbiology or other result with status and interpretation context.",result_id; order_id; name; value; abnormal_flag; date; status; scope; reviewer; patient_notified,Research F PI004/PI006/PI016,Avoid interpreting beyond test scope; abnormal flags need safe wording.
ReferralItem,Referral lifecycle from recommendation/request through completion and returned advice.,referral_id; thread_id; specialty; clinical_question; status; destination; due_date; appointment; outcome; next_owner,Research F PI005,Status labels must be clear and not imply diagnosis exclusion.
PendingItem,"Any open loop: result, referral, repeat test, check-in, appointment, document, message, or follow-up.",pending_id; thread_id; item_type; description; due_date; owner_label; contact; status; escalation_hint,Research F PI004/PI005/PI016; SHM Responsibility Memory,Owner may be unknown; do not invent ownership.
VisitPacket,User-controlled clinician summary for a visit or referral.,packet_id; thread_id; scope; generated_at; sections; source_links; share_grant_id; expiration,Research F PI009; VISION.md,User preview and scope control before sharing.
UncertaintyItem,"Tracks what remains unknown, what test did/did not address, and what triggers reassessment.",uncertainty_id; thread_id; question; status; source; review_needed; last_checked,SHM Decision Memory; Research F uncertainty principles,No autonomous ruling out or confirming disease.
CorrectionRequest,"User-submitted correction to summary, thread, imported data, or plan interpretation.",correction_id; target_id; correction_text; reason; status; created_at; shared_with,Research F PI007; SHM F005,Preserve both original and correction.
AccessBarrier,"Language, cost, transport, digital access, disability, trust or cultural safety barrier relevant to care path.",barrier_id; thread_id; barrier_type; description; support_needed; user_share_flag,Research F PI019-PI022; SHM Equity & Access Memory,"Use for support, not risk-scoring stereotypes."
SafetyFlag,Rule-based triage/safety output before any user-facing AI response.,flag_id; thread_id; level; trigger; message; dismissed_allowed; reviewed_at,WellBe M21; Research F safety_risks,No AI bypass; urgent guidance must be local and conservative.
HypothesisQuestion,Non-diagnostic question or possible relationship to explore.,question_id; thread_id; question; supporting_evidence; missing_evidence; status; safety_review,WellBe M17-M19; do-not-diagnose rules,Never present as diagnosis.
