review_id,research_topic,source_id,source_platform_or_type,country_or_region,setting_or_context,review_or_complaint_excerpt_short,complaint_context,process_step,complaint_type,what_person_wanted,what_service_or_staff_did,what_was_missed_or_failed,outcome_if_known,product_or_system_implication,source_url_or_identifier,evidence_quality,notes,date_packaged
R001,Real health-system patient flows for identifying health issues,S02,systematic review / AHRQ report,US-focused evidence,emergency department,,"Public complaint/experience source about stroke, MI, aortic dissection, VTE, meningitis/encephalitis, sepsis, spinal cord injury/compression, lung cancer",first clinician assessment; imaging/lab interpretation; discharge,diagnostic/process complaint,"recognition, follow-up, or escalation",Systematic review estimated diagnostic error harms and common high-harm conditions.,"Missed/delayed: serious ED diagnoses, especially vascular, neurologic, infection and cancer presentations.",varies,Flag high-harm conditions linked to symptom clusters and require explicit exclusion/safety-netting before discharge.,https://www.ncbi.nlm.nih.gov/books/NBK588197/,high,Useful as cross-setting failure evidence rather than a local workflow manual.,2026-05-30
R002,Real health-system patient flows for identifying health issues,S22,advocacy survey / patient voice,UK,primary care,"“I was constantly dismissed, ignored and belittled”",Public complaint/experience source about endometriosis,medical history; referral; specialist review; repeat visit,diagnostic/process complaint,"recognition, follow-up, or escalation",Survey documented repeated GP visits and A&E attendance before diagnosis; respondents reported dismissal/minimisation.,Missed/delayed: endometriosis diagnosis; patients often required repeated self-advocacy.,average 8 years 10 months,"Track symptom duration/severity, repeated visits and invalidating language; prompt specialist referral criteria review.",https://www.endometriosis-uk.org/diagnosis-report,medium,Advocacy survey gives patient voice and quantitative delay data.,2026-05-30
R003,Real health-system patient flows for identifying health issues,S24,ombudsman patient-safety report,England,hospital outpatient / imaging / ED,“I really tried to get the doctors to listen”,Public complaint/experience source about cancer and other scan-detectable conditions,imaging ordered; lab interpretation; follow-up; emergency return,diagnostic/process complaint,"recognition, follow-up, or escalation","Ombudsman reported repeated failures in scan reading, carrying out scans and follow-up; a cancer case was only identified at a fifth A&E visit after lesion not reported.",Missed/delayed: abnormal scan findings and cancer diagnosis.,example six-week delay; other cases vary,"Closed-loop imaging: critical finding acknowledgment, patient notification and escalation if no action documented.",https://www.ombudsman.org.uk/news-and-blog/news/patients-being-harmed-due-repeated-mistakes-reading-scans,high,Patient-complaint/ombudsman evidence with public family quote.,2026-05-30
R004,Real health-system patient flows for identifying health issues,S32,peer-reviewed implementation study,US: North Carolina,community health center / public health screening,,Public complaint/experience source about colorectal cancer risk after abnormal FIT,public health screening; lab interpretation; referral; follow-up,diagnostic/process complaint,"recognition, follow-up, or escalation","Mailed FIT outreach identified abnormal results; centralized patient navigation addressed informational, emotional, financial and transport barriers to colonoscopy.",Identified: abnormal FIT needing colonoscopy; missed: patients not reached or declining navigation remain at risk.,follow-up within 9 months measured,Track abnormal-screen closure and navigator barrier categories to completion.,https://www.sciencedirect.com/science/article/pii/S221133552300102X,medium,Implementation study in FQHC safety-net setting; strong fit to product workflows.,2026-05-30
R005,Real health-system patient flows for identifying health issues,S33,peer-reviewed implementation study,US: Washington state,community health center / screening,,Public complaint/experience source about abnormal FIT requiring colonoscopy,public health screening; referral; follow-up,diagnostic/process complaint,"recognition, follow-up, or escalation","PRECISE trial implementation support trained navigators and documented challenges in workload, documentation, partnerships and tracking.",Identified: implementation barriers to closing abnormal FIT follow-up.,varies,"Build navigator work queues, cross-organization data sharing and colonoscopy-status reconciliation.",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0343659,medium,Recent implementation lessons for community health settings.,2026-05-30
R006,Real health-system patient flows for identifying health issues,S42,peer-reviewed quality-improvement study,Uganda,rural clinic,,Public complaint/experience source about urgent/emergency cases among general OPD patients,arrival; nurse triage; vitals; first clinician assessment,diagnostic/process complaint,"recognition, follow-up, or escalation",Rural OPD implemented IITT-adapted structured triage using a three-colour checklist on charts and short training; patient flow improved without added resources.,Identified: urgent/emergency cases earlier; missed: undertriage still possible and formal triage requires staff buy-in.,time to provider reduced 23 minutes; total OPD stay reduced 35 minutes,Low-cost triage checklists can be embedded into paper charts and later digitized.,https://link.springer.com/article/10.1186/s12245-025-01005-z,medium,Real-world QI study in rural Uganda.,2026-05-30
R007,Real health-system patient flows for identifying health issues,S48,peer-reviewed cohort study,Denmark,specialist clinic / diagnostic centre,,Public complaint/experience source about non-specific symptoms and signs of cancer,referral; specialist review; labs/imaging ordered,diagnostic/process complaint,"recognition, follow-up, or escalation",Cohort study of urgent referral to Denmark's non-organ-specific cancer pathway; around one fifth had cancer.,Identified: substantial cancer prevalence among non-specific symptom referrals; missed: patients with serious symptoms outside pathway criteria.,2014-2021 cohort,"Support structured referral for uncertainty, not just classic red flags.",https://www.nature.com/articles/s41416-024-02620-y,high,Peer-reviewed evidence for nonspecific symptom diagnostic pathways.,2026-05-30
R008,Real health-system patient flows for identifying health issues,S53,patient story / advocacy group,US,specialist clinic / rare disease,,Public complaint/experience source about rare congenital/neurologic condition,repeat visit; specialist review; imaging/genetic/special testing,diagnostic/process complaint,"recognition, follow-up, or escalation",Patient story describes self-advocacy leading to specialist programme review and eventual rare diagnosis after decades.,Missed/delayed: rare diagnosis across many earlier encounters.,about 30 years,Give patients a longitudinal symptom/problem timeline they can share across systems.,https://rarediseases.org/undiagnosed-when-your-rare-diagnosis-comes-30-years-late/,low,"Patient story, useful for unusual-flow capture; low generalizability.",2026-05-30
R009,Real health-system patient flows for identifying health issues,S54,patient stories / advocacy group,UK,primary care / chronic disease,,Public complaint/experience source about chronic kidney disease,medical history; lab interpretation; diagnosis discussion,diagnostic/process complaint,"recognition, follow-up, or escalation","Advocacy patient stories describe how CKD diagnosis experiences can involve communication problems, dismissed symptoms and records not seen.",Missed/delayed: chronic disease recognition or patient understanding.,varies,Pair lab trend alerts with patient-facing explanations and record visibility checks.,https://kidneycareuk.org/kidney-disease-information/your-stories/ckd-diagnosis-experiences/,low,"Patient-story source; useful qualitative signal, not a systematic estimate.",2026-05-30
R010,Real health-system patient flows for identifying health issues,S56,peer-reviewed diagnostic-error study,US,primary care,,Public complaint/experience source about varied common diseases with potential harm,first clinician assessment; medical history; physical exam; labs ordered,diagnostic/process complaint,"recognition, follow-up, or escalation",Study identified primary-care diagnostic errors using EHR triggers such as unplanned hospitalization/return visits/ED visits after index primary-care encounter.,"Missed/delayed: common diseases; process breakdowns in patient-practitioner encounter, history, exam and workup ordering.",varies,Use trigger tools to surface unplanned returns after recent visits and prompt diagnostic review.,https://jamanetwork.com/journals/jamainternalmedicine/fullarticle/1656540,high,Peer-reviewed diagnostic-error study; old but foundational.,2026-05-30
