research_topic,patient_stage,black_zone_example,case_ids,what_got_lost,design_affordance,date_packaged
"Research B - missed signals, diagnostic errors, and late discovery cases",before visit,Access/insurance/payment and community-care pathways affect whether testing begins.,"B-025, B-026, B-031",High-risk history and persistent symptoms never enter a stable diagnostic pathway.,Community intake + access-risk flags + incomplete-workup registry.,2026-05-30
"Research B - missed signals, diagnostic errors, and late discovery cases",arrival / registration,"Key context such as family history, recent discharge, or repeat visit may not be visible.","B-006, B-031",A return visit can look like a new isolated encounter.,Front-door repeat-visit banner and family-history prompt.,2026-05-30
"Research B - missed signals, diagnostic errors, and late discovery cases",nurse triage / vitals,Abnormal vitals exist but are not integrated into diagnosis.,"B-006, B-007, B-016","Tachycardia, tachypnea, oxygen saturation, neuro deficits lose salience.",Triage risk model with forced reassessment when vitals worsen or repeat visits occur.,2026-05-30
"Research B - missed signals, diagnostic errors, and late discovery cases",first clinician assessment,First plausible diagnosis closes the case.,"B-003, B-008, B-010, B-016, B-028",Anxiety/asthma/gastroenteritis/seizure/COVID labels hide alternatives.,Diagnostic time-out: 'what would be dangerous to miss?' with condition-specific prompts.,2026-05-30
"Research B - missed signals, diagnostic errors, and late discovery cases",medical history,"Family history, medication access, and symptom timeline are not integrated.","B-013, B-023, B-031",Cost-related medication interruption or autoimmune/cancer family history is treated as background.,Structured risk-context capture linked to decision support.,2026-05-30
"Research B - missed signals, diagnostic errors, and late discovery cases",physical exam,Time-sensitive exams can be absent or delayed.,"B-010, B-030",Abdominal/testicular signs and evolving pain are not escalated fast enough.,Complaint-linked exam checklist and timer for torsion/appendicitis pathways.,2026-05-30
"Research B - missed signals, diagnostic errors, and late discovery cases",labs ordered,"Right lab is not ordered, or ordered but not matched to presentation.","B-011, B-013, B-015, B-026","CRP, thyroid tests, antibody results, RDT/microscopy availability.",Order-set suggestions and stockout-aware alternatives.,2026-05-30
"Research B - missed signals, diagnostic errors, and late discovery cases",imaging ordered,"Wrong imaging, no imaging, or limited anatomic scope.","B-004, B-006, B-016, B-030",Thoracic abscess missed by lumbar MRI; no CXR; no CTA/perfusion; delayed ultrasound.,Imaging scope/rule-out warning and emergency pathway trigger.,2026-05-30
"Research B - missed signals, diagnostic errors, and late discovery cases",lab/imaging interpretation,Abnormal result exists but severity/action is not communicated.,"B-008, B-012, B-015, B-017, B-018","Right-heart strain, Listeria, AChR antibody, echo vegetation, unexpected radiology finding.",Critical semantics + acknowledgment + action tracking.,2026-05-30
"Research B - missed signals, diagnostic errors, and late discovery cases",diagnosis discussion / discharge,Pending results and uncertainty disappear from the patient plan.,"B-007, B-012, B-017",Patient leaves before critical information returns or before serial tests are done.,"Discharge plan must list pending tests, owner, date, escalation route, and patient-facing meaning.",2026-05-30
"Research B - missed signals, diagnostic errors, and late discovery cases",referral,"Referral is needed but not made, delayed, wrong, or abandoned after poor interaction.","B-002, B-005, B-029, B-032",Specialty handoff does not happen or patient drops out after negative encounter.,Referral closure tracking plus patient experience/escalation feedback loop.,2026-05-30
"Research B - missed signals, diagnostic errors, and late discovery cases",follow-up / repeat visit,Return visits do not cause diagnostic reset.,"B-006, B-009, B-010, B-028, B-030",The system repeats the same explanation despite worsening signals.,Repeat-visit diagnostic reset requiring a new differential and review of prior notes/results.,2026-05-30
"Research B - missed signals, diagnostic errors, and late discovery cases",specialist review,"Specialist sees one slice, remote note, or wrong chart.","B-011, B-016, B-024","Wrong patient chart, remote stroke decision, specialty assumptions.","Identity verification, red-flag checklist, and cross-specialty summary pane.",2026-05-30
"Research B - missed signals, diagnostic errors, and late discovery cases",long-term monitoring,Slow trends and chronic invalidation hide deterioration.,"B-001, B-014, B-020, B-021, B-022","Anemia trend, repeated admissions, persistent symptoms, nutrition decline.",Trend explorer with unresolved-problem list and functional status/quality-of-life metrics.,2026-05-30
