Entity/table,Core fields,Purpose,Evidence refs,Privacy/safety notes,date_packaged,research_topic
Patient,patient_id; demographics; preferred language; accessibility needs; consent settings; contact preferences,Route communication safely and support language/access barriers.,research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::S023/S024/S025; research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::E003,Minimize sensitive demographics; avoid ethnicity-based risk scoring.,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
Encounter,encounter_id; patient_id; setting; date/time; arrival/registration/triage times; clinician/team; disposition,Connect visits and identify repeat presentations or waiting-room risk.,research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::FM01-FM09; research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::black_zones_by_patient_stage.csv,"Use timestamps for safety, not punitive staff surveillance.",2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
DiagnosticEpisode / UnresolvedProblem,episode_id; patient_id; symptom cluster; start date; status; uncertainty; owner; linked encounters/results/referrals; next action,Represent unresolved health issue across time.,research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::Longitudinal diagnostic signal accumulator; research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::product implications,Clinician-owned status; no final autonomous diagnosis.,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
SymptomTimelineEntry,episode_id; symptom; onset; duration; severity; frequency; triggers; change from baseline; daily impact; patient words,Capture persistent/changing symptoms and patient voice.,research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz::quotes.csv; research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::B-002/B-020/B-021,Plain-language input; respectful normalization; patient can correct.,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
PatientConcern,concern_id; encounter_id; quote; main fear/theory; priority; disposition; unresolved reason; follow-up,Concern-by-concern closure and voice protection.,research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz::C001/C002/Q001/Q002; research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::Q004,Separate patient quote from clinician assessment.,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
FamilyCaregiverInput,patient_id; informant relationship; family history; deterioration concern; consent; quote; action taken,Capture family history and caregiver deterioration signal.,research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz::C004/C005/Q004/Q005; research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::C003,Respect patient consent and confidentiality.,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
MedicationAccess,medication; dose; adherence interruption; reason; cost/transport/supply issue; pharmacy fill if available,Detect access barriers as diagnostic clues.,research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::B-013/B-031; research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::access_barrier_map.md,Ask nonjudgmentally; mark sensitive data.,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
TestOrder,order_id; encounter_id; clinical question; ordered date; expected result date; owner; patient instructions,Link tests to unresolved problem and pending-result tracking.,research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::FM08; research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::E001,Avoid assuming order means test completed.,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
TestResult / ImagingFinding,result_id; order_id; result date; value/report; abnormality class; criticality; scope/body region; reviewed_by; patient_notified,Result lifecycle and normal-test limitation tracking.,research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::B-004/B-008/B-017/B-018; research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz::C010/C011,Patient-facing release requires explanation path.,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
ResultActionTask,task_id; result_id; owner; backup owner; due date; action type; completed date; closure reason; escalation state,Closed-loop abnormal-result ownership.,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::E001/E015; research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz::C010/C011,Escalation calibrated by criticality and context.,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
Referral,referral_id; clinical question; destination; priority; status; reason returned; appointment date; attendance; report returned; next owner,Referral completion transparency.,research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::FM10/FM11; research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::E013/E014,Do not label rejection as diagnosis exclusion.,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
SafetyNetPlan,episode_id; what remains unexplained; red flags; timeframe; who to contact; planned follow-up; patient understanding,Specific uncertainty and follow-up plan.,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::E004; research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz::C003,Avoid panic language; give clear pathways.,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
CommunityReferral / CHWAssessment,CHW_id; protocol; danger signs; referral card/voucher; diagnostic voucher; attendance; counter-referral,Connect community first-contact to formal care.,research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::C005/C007; research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::FM12,Only within supervised scope/training.,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
